Year,Trt,TrtO,Season,Drainage,Nitrate load,Flow-weighted nitrate-N concentration
2014,CP-SPPOLY-150-S,CPPPOLY-150,3,8.232135936,13.77982628,16.73906552
2014,CP-SPPOLY-150-S,CPPPOLY-150,3,5.480840448,7.877580726,14.37294298
2014,CP-SPPOLY-150-C,CPPPOLY-150,3,7.491350016,15.34836472,20.48811587
2014,CP-SPPOLY-150-C,CPPPOLY-150,3,6.851318784,18.55025886,27.07545721
2014,CP-SPPOLY-150-S,CPPPOLY-150,3,6.803136,11.51259352,16.92248034
2015,CP-SPUREA-150-S,CPPPOLY-150,3,7.399755584,9.97085658,13.47457557
2015,CP-SPUREA-150-C,CPPUREA-150,3,13.19584051,16.60587549,12.58417414
2015,CP-SPUREA-150-C,CPPUREA-150,3,8.760090176,18.93010851,21.60949046
2015,CP-SPUREA-150-S,CPPUREA-150,3,4.3257216,6.349866971,14.67932419
2015,CP-SPUREA-150-S,CPPUREA-150,3,7.809114176,13.56249098,17.36751528
2015,CP-SPUREA-150-S,CPPUREA-150,3,4.002584832,9.921450051,24.78760718
2015,CP-SPUREA-150-C,CPPUREA-150,3,4.279294464,3.939991864,9.207106212
2015,CP-SPUREA-150-C,CPPUREA-150,3,2.724473088,5.07370347,18.62269623
2015,CP-SP-150-C,CPP-150,3,8.46011008,5.606316544,6.626765481
2015,CP-SP-150-S,CPP-150,3,10.37705011,15.48406691,14.92145334
2015,CP-SP-150-C,CPP-150,3,9.333805056,7.461694149,7.994268259
2015,CP-SP-150-S,CPP-150,3,8.040274496,16.91706523,21.04040756
2015,CP-SP-150-C,CPP-150,3,5.815779072,7.044808457,12.11326698
2015,CP-SP-150-C,CPP-150,3,8.36810112,10.62676358,12.6991338
2015,CP-SP-150-S,CPP-150,3,8.79823488,14.25248574,16.1992558
2015,CP-SP-150-S,CPP-150,3,5.08845312,5.805965811,11.41008018
2015,CP-SPPOLY-150-S,CPPPOLY-150,3,6.422452992,8.9165846,13.88345639
2015,CP-SPPOLY-150-S,CPPPOLY-150,3,7.763085312,7.402423467,9.535414297
2015,CP-SPPOLY-150-C,CPPPOLY-150,3,12.87777562,10.89316599,8.458887866
2015,CP-SPPOLY-150-C,CPPPOLY-150,3,7.523536896,14.28832524,18.99150019
2015,CP-SPPOLY-150-C,CPPPOLY-150,3,4.607210496,3.983713107,8.646692203
2015,CP-SPPOLY-150-S,CPPPOLY-150,3,7.54050816,12.88132676,17.08283644
2015,CP-SPPOLY-150-S,CPPPOLY-150,3,4.471342848,7.592280593,16.97986679
2015,CP-SPPOLY-150-C,CPPPOLY-150,3,6.325892352,6.962394001,11.00618476
2011,CP-SPUREA-150-S,CPPUREA-150,4,0,0,
2011,CP-SPUREA-150-C,CPPUREA-150,4,0,0,
2011,CP-SPUREA-150-C,CPPUREA-150,4,0,0,
2011,CP-SPUREA-150-S,CPPUREA-150,4,0,0,
2011,CP-SPUREA-150-S,CPPUREA-150,4,0,0,
2011,CP-SPUREA-150-S,CPPUREA-150,4,0,0,
2011,CP-SPUREA-150-C,CPPUREA-150,4,0,0,
2011,CP-SPUREA-150-C,CPPUREA-150,4,0,0,
2011,CP-SP-150-C,CPP-150,4,0,0,
2011,CP-SP-150-S,CPP-150,4,0,0,
2011,CP-SP-150-C,CPP-150,4,0,0,
2011,CP-SP-150-S,CPP-150,4,0,0,
2011,CP-SP-150-C,CPP-150,4,0,0,
2011,CP-SP-150-C,CPP-150,4,0,0,
2011,CP-SP-150-S,CPP-150,4,0,0,
2011,CP-SP-150-S,CPP-150,4,0,0,
2011,CP-SPPOLY-150-S,CPPPOLY-150,4,0,0,
2011,CP-SPPOLY-150-S,CPPPOLY-150,4,0,0,
2011,CP-SPPOLY-150-C,CPPPOLY-150,4,0,0,
2011,CP-SPPOLY-150-C,CPPPOLY-150,4,0,0,
2011,CP-SPPOLY-150-C,CPPPOLY-150,4,0,0,
2011,CP-SPPOLY-150-S,CPPPOLY-150,4,0,0,
2011,CP-SPPOLY-150-S,CPPPOLY-150,4,0,0,
2011,CP-SPPOLY-150-C,CPPPOLY-150,4,0,0,
2012,CP-SPUREA-150-C,CPPUREA-150,4,0,0,
2012,CP-SPUREA-150-S,CPPUREA-150,4,0,0,
2012,CP-SPUREA-150-S,CPPUREA-150,4,0,0,
2012,CP-SPUREA-150-C,CPPUREA-150,4,0,0,
2012,CP-SPUREA-150-C,CPPUREA-150,4,0,0,
2012,CP-SPUREA-150-C,CPPUREA-150,4,0,0,
2012,CP-SPUREA-150-S,CPPUREA-150,4,0,0,
2012,CP-SPUREA-150-S,CPPUREA-150,4,0,0,
2012,CP-SP-150-S,CPP-150,4,0,0,
2012,CP-SP-150-C,CPP-150,4,0,0,
2012,CP-SP-150-S,CPP-150,4,0,0,
2012,CP-SP-150-C,CPP-150,4,0,0,
2012,CP-SP-150-S,CPP-150,4,0,0,
2012,CP-SP-150-S,CPP-150,4,0,0,
2012,CP-SP-150-C,CPP-150,4,0,0,
2012,CP-SP-150-C,CPP-150,4,0,0,
2012,CP-SPPOLY-150-C,CPPPOLY-150,4,0,0,
2012,CP-SPPOLY-150-C,CPPPOLY-150,4,0,0,
2012,CP-SPPOLY-150-S,CPPPOLY-150,4,0,0,
2012,CP-SPPOLY-150-S,CPPPOLY-150,4,0,0,
2012,CP-SPPOLY-150-S,CPPPOLY-150,4,0,0,
2012,CP-SPPOLY-150-C,CPPPOLY-150,4,0,0,
2012,CP-SPPOLY-150-C,CPPPOLY-150,4,0,0,
2012,CP-SPPOLY-150-S,CPPPOLY-150,4,0,0,
2013,CP-SPUREA-150-S,CPPUREA-150,4,0,0,
2013,CP-SPUREA-150-C,CPPUREA-150,4,0,0,
2013,CP-SPUREA-150-C,CPPUREA-150,4,0,0,
2013,CP-SPUREA-150-S,CPPUREA-150,4,0,0,
2013,CP-SPUREA-150-S,CPPUREA-150,4,0,0,
2013,CP-SPUREA-150-S,CPPUREA-150,4,0,0,
2013,CP-SPUREA-150-C,CPPUREA-150,4,0,0,
2013,CP-SPUREA-150-C,CPPUREA-150,4,0,0,
2013,CP-SP-150-C,CPP-150,4,0,0,
2013,CP-SP-150-S,CPP-150,4,0,0,
2013,CP-SP-150-C,CPP-150,4,0,0,
2013,CP-SP-150-S,CPP-150,4,0,0,
2013,CP-SP-150-C,CPP-150,4,0,0,
2013,CP-SP-150-C,CPP-150,4,0,0,
2013,CP-SP-150-S,CPP-150,4,0,0,
